place,longitude,latitude
Samarra,43.874167,34.198333
Derbent,48.3,42.05
Kherson,33.493333,44.611667
Konstantinopel,28.955556,41.013889
Olympus,29.22154,40.07057
Thessaloniki,22.9,40.65
Rom,12.5,41.883333
Aquileia,13.371192,45.769725
Passau,13.466667,48.566667
Salzburg,13.033333,47.8
Mosaburg,17.15683,46.66996
Venedig,12.3319,45.4397
Sirmium,19.616667,44.983333
